time,value
17697,1.367729545
17731,1.789151669
18005,1.446463108
18121,1.129230976
18129,1.289899707
18133,1.450370312
18137,1.751685143
18405,1.308295846
18481,1.180079222
18759,1.176613212
18765,1.458870411
18780,1.913967371
18795,1.239453077
18904,1.684926391
19109,1.135790706
19113,1.387124658
19209,12.84451866
19319,1.265597224
19377,1.195566654
19498,1.195719838
19501,1.338327885
19546,1.424150825
19617,2.148744345
19841,1.144815207
19922,1.186795115
19999,1.274267077
20493,1.34851706
20578,1.148613214
20618,1.083304048
20646,1.228535175
20664,1.249439716
20666,1.191079617
20760,1.218207121
20841,1.109071136
20968,1.361257434
20979,1.400482535
21000,1.393528104
21036,1.105370045
21052,1.058664799
21129,1.298519254
21267,1.160092831
21311,1.17630136
21676,1.155404449
21678,1.346642733
22063,1.399229646
22162,1.675258994
22307,1.472476721
22380,1.555620551
22702,1.413469076
22756,1.143316627
23071,1.250344157
23106,1.605484128
23330,1.377684712
23406,1.278649569
23407,1.591492057
23500,1.13929677
23589,1.19883132
24378,1.258205771
24469,1.212248683
24473,1.037704945
24492,1.16179204
24704,1.256321311
24718,1.136952639
24758,1.258210897
24828,1.265450716
24843,0.927050114
24875,1.918473244
24882,1.056704283
24938,1.519776225
24991,1.134847164
25053,1.839883804
25112,1.213397503
25249,1.385673165
25444,1.158749342
25649,1.407688022
25703,1.227642417
25713,1.102138519
25715,1.336468458
25757,1.157994747
25917,1.183768034
25929,1.361738205
26153,1.046852469
26263,1.035039067
26303,1.200354457
26377,1.338518143
26421,1.084544778
26646,1.331502199
26693,1.266202688
26816,1.406962276
26970,1.576507092
27014,1.350122809
27029,1.60320282
27104,1.124398112
27308,1.313464761
27367,1.674105287
27454,1.189453602
27521,1.223024607
27626,1.541419029
27651,1.69943881
27792,1.352251768
27833,1.281355619
27894,1.265687108
28006,1.085437655
28045,1.583677888
28102,1.259652257
28452,1.413458824
28460,1.086856961
28615,2.046628475
28794,1.168877482
28854,1.767033696
28882,1.332818151
28972,1.496602535
28984,1.143234253
29126,1.164319992
29259,1.336914539
29310,1.127699494
29431,1.169586778
29490,1.401040792
29565,1.12175858
29620,1.749121904
29636,2.324236393
29671,1.493356943
29677,1.152667284
29784,2.260130405
29831,1.122400045
29848,1.282451034
29874,1.404684901
29974,1.089106083
29999,1.351140022
30055,1.151329398
30067,1.229407907
30080,2.001864433
30300,1.568885922
30333,1.180817723
30703,1.325469494
30892,1.121431351
30919,1.303976655
30959,1.189971805
30967,1.138449311
31006,1.578414798
31244,1.064039946
31314,1.696843266
31376,1.202228665
31410,1.33760941
31469,1.227757454
31607,1.639760852
31660,1.537953138
31700,1.185822368
31902,1.713461876
31918,1.105472326
31953,1.491663694
31976,1.461084366
32014,0.949058414
32173,1.471841216
32507,1.070304155
32569,1.259939551
32811,0.949660778
32824,1.190747261
32825,1.217213631
32902,1.490781784
32966,1.107762694
33012,1.078938246
33279,1.526428819
33408,1.184769392
33426,1.484832764
33701,1.297872901
33803,1.707937598
33864,1.250393033
33866,1.114101171
33886,1.42486012
34021,1.645313621
34107,1.074171066
34464,1.661260843
34499,1.044192672
34623,1.314446568
34931,2.161689997
34949,1.414626598
34951,0.925538719
34967,1.17871511
35114,1.32961452
35140,1.085297227
35217,1.454600573
35377,1.126482368
35464,1.40477705
35477,1.493769288
35551,1.22663784
35579,1.196039081
35635,1.113463521
35704,0.898290217
35874,1.064237118
35913,1.216210246
35948,1.175815105
36008,1.094263792
36501,1.68298018
36612,1.420455456
36631,1.483989239
36686,1.335712075
36694,1.579709411
36886,1.272271752
36888,1.207270503
36891,1.129563928
36903,1.127655149
36917,1.388876081
36996,1.164733171
37065,1.24904716
37079,2.180171013
37116,1.146620512
37182,1.161916733
37498,1.017301559
37647,1.139826655
37674,1.227814078
37749,1.223246574
37803,1.869089246
37808,0.954936266
37937,1.41940546
38386,0.96101135
38387,1.160683036
38408,1.538579702
38487,1.297508836
38518,1.090336323
38563,0.979763329
38805,1.396845341
38839,1.398244143
38880,1.197902083
38898,1.627301574
39025,1.235970497
39238,1.033013105
39477,1.235870242
39551,1.459411621
39588,1.233236909
39712,1.468818426
40030,1.061156034
40110,1.158631206
40174,1.123998046
40236,1.142825007
40249,1.26381433
40285,1.424387336
40326,1.118411541
40332,1.435576081
40416,1.046571374
40522,1.130678773
40540,1.479823947
40593,1.093441963
40617,1.554822564
40793,1.055546284
40801,1.619594693
40849,1.278902292
40942,1.278743625
41043,1.157253623
41070,1.313935041
41073,1.121617675
41077,0.976825833
41291,1.758155346
41374,1.083543301
41473,1.121365786
41536,1.304926991
41541,1.553068161
41566,0.983902872
41654,1.377157092
41772,1.710969329
41912,0.935819387
41968,1.000760674
42012,1.159660816
42118,1.063229561
42128,1.088747144
42131,1.17681551
42461,1.111745238
42535,1.154529691
42855,1.070716381
42869,1.141331792
42900,1.221001983
