time,value
172,0.972963512
244,1.017838597
259,1.124270558
402,1.247885466
465,1.203409433
510,1.15094471
556,1.257918119
596,1.227585316
658,1.15888381
804,0.997513056
1026,1.218010426
1037,1.237792253
1132,1.068454623
1184,1.164224625
1271,1.127228737
1417,1.135591149
1458,1.174881935
1494,1.037633419
1510,1.07483983
1548,0.991238415
1565,1.244398832
1940,1.168070316
1960,1.22374773
2436,1.07261157
2441,1.207595825
2462,1.059353948
2503,1.139901876
2577,1.084602594
2643,1.198538065
2684,1.118412852
2693,1.366556883
2708,1.199050546
2717,1.08082509
2768,1.177703857
2973,1.012151361
3083,1.119495034
3104,1.062775612
3105,1.12135005
3145,1.272688746
3241,1.08595705
3265,1.124456882
3356,1.182276487
3500,1.199848652
3566,1.200720191
3600,1.1202389
3616,1.007133245
3654,1.174121857
3668,1.14327693
3671,1.143979549
3848,1.141729951
3915,1.087081909
4023,1.117183685
4109,1.152428985
4121,1.150434613
4181,1.122002006
4192,1.128400564
4227,1.089315772
4318,1.142717361
4328,1.196202993
4564,1.105570555
4690,1.127952814
4832,1.124219537
5090,1.209440947
5136,1.114900351
5187,1.173658013
5200,0.999752164
5262,0.98462975
5295,1.296612382
5362,1.112528563
5454,1.120971441
5667,1.109656572
5832,1.028016806
5866,1.04815805
5879,1.006993771
5981,1.069402814
5997,1.177712202
6053,0.970533788
6138,0.899321198
6225,1.096035719
6279,1.127334356
6334,1.138043642
6369,1.005119324
6569,1.140031576
6599,0.933378339
6730,1.070410013
6750,1.034167767
6850,0.96457684
6919,1.004979014
6991,1.095662594
6996,1.078142405
7054,1.043557286
7253,1.13745594
7436,1.001907825
7464,1.062793016
7543,1.01731956
7644,1.16433835
7727,0.906229377
7730,0.985690415
7756,0.90589118
7794,0.99603653
7821,1.075630546
7986,1.035879731
8122,0.986301899
8291,1.062047124
8548,1.164066792
8554,1.094710946
8618,1.023406506
8659,0.877344728
8694,1.040051222
8724,1.097402334
8752,1.048226357
8776,0.921093583
8778,0.964595318
8823,1.025391817
8833,1.02615273
8870,1.048642755
8877,0.974775195
9058,1.09194541
9152,0.88786447
9252,1.081432819
9291,1.032223463
9327,0.881155372
9359,0.960631013
9547,0.94405067
9712,0.988183379
9753,0.937580466
9754,0.842690349
9837,0.918357253
9867,1.019599199
9894,0.884123325
9917,1.023895025
9949,1.034688711
9973,0.933946252
9979,0.964328706
9993,0.904316187
10063,1.108989716
10090,1.136778355
10121,1.112652898
10138,1.117730975
10191,0.911465764
10342,0.949328482
10395,0.997801304
10445,1.084588766
10458,0.966079235
10501,1.06054163
10518,1.058850288
10561,1.099733591
10643,1.063391447
10645,0.927133322
10707,1.088128448
10724,1.062910557
11023,0.96643275
11036,0.96147275
11054,0.880877554
11094,1.032110214
11118,0.962186813
11212,0.892865896
11218,0.946983099
11331,1.056203842
11394,1.015888453
11409,0.850039124
11819,0.988895953
11867,1.093197823
12027,0.941420674
12076,1.084738135
12175,1.120371222
12316,0.914997101
12354,1.058688402
12398,1.004513741
12400,0.882230639
12476,1.037069082
12554,0.970496893
12601,0.961938977
12708,1.038708925
12901,0.790541947
12905,0.888348937
12944,0.960232139
13304,1.135065317
13349,0.879333079
13388,0.953447104
13418,1.025611162
13455,1.009075165
13522,0.819899261
13550,0.838015676
13623,1.069309473
13642,0.983578026
13647,0.995364964
13802,1.018399
13849,0.870135367
13971,1.189559221
13980,1.031399012
14006,0.870110273
14046,0.98742342
14188,0.943584859
14206,0.986709893
14265,1.002471209
14354,0.853051901
14361,0.880536795
14405,0.914751828
14419,0.97722578
14535,1.032086492
14623,0.929031074
14645,0.965904355
14745,0.906378031
14851,0.823960662
14864,0.80094862
15019,1.114567757
15065,0.914500117
15070,0.809104323
15124,0.898092091
15185,0.97954905
15371,1.00630641
15490,0.872967601
15610,0.918247402
15638,1.056251764
16076,0.993043423
16241,1.022806406
16313,1.103078842
16392,1.094494343
16427,1.300626159
16834,1.023447633
16866,1.074453831
16880,0.901135862
16883,0.985117614
16907,1.056805253
16947,0.974594951
17120,0.939868212
17126,0.78867048
17127,0.960870385
17263,1.040911913
17394,1.073424339
17431,0.965816736
17563,1.068295479
17632,1.064847827
17688,0.879200697
17697,1.045887232
17731,1.043241501
18005,1.00840354
18121,0.917028785
18129,0.778787971
18133,0.915263236
18137,0.946754396
18405,0.820630312
18481,1.056133986
18490,1.017342091
18759,0.94943881
18765,1.000712037
18780,0.914231539
18795,0.983796716
18904,1.001819849
19109,0.974946439
19113,0.942448497
19209,0.211432129
19319,0.922290802
19377,0.94237572
19406,0.891602397
19498,0.935497046
19501,0.879544377
19546,1.002447128
19617,0.980503082
19841,1.149289489
19922,0.867572248
19999,1.00262785
20394,0.979236186
20440,0.98622787
20493,1.000133872
20578,0.882421494
20581,0.879666269
20618,1.008075118
20646,0.930941284
20664,0.96158576
20666,0.814900935
20760,0.854738414
20841,0.993286729
20951,0.944303811
20968,0.950156569
20979,0.901563883
21000,0.910696983
21036,0.924835742
21052,1.013559341
21129,0.98777324
21233,0.970093787
21267,0.946470976
21311,0.797274351
21582,0.985807061
21676,0.917348981
21678,1.014799118
22063,1.065284491
22162,1.18996501
22307,1.006636739
22380,1.056107521
22702,1.070197344
22756,0.959466457
22781,0.993421972
22921,0.972098708
23071,1.00760293
23106,1.027680159
23330,0.906889081
23406,0.833385587
23407,1.040992737
23500,1.048848152
23589,0.945033073
23591,0.933556199
23645,0.96917367
24070,0.848507345
24378,1.028262854
24469,0.882420003
24473,1.086779833
24492,0.883499861
24704,1.0243783
24718,0.986979723
24758,0.926458597
24828,0.948053956
24843,0.924165368
24875,0.80581224
24882,1.034797549
24938,1.045153141
24991,0.88989538
25053,1.054002047
25112,0.846331894
25249,1.004712105
25444,0.896558762
25649,0.801515341
25703,0.900850296
25713,0.888575912
25715,1.013969779
25757,0.826635003
25917,0.947284818
25929,0.901022315
26153,0.921111226
26263,1.036385179
26303,0.875702739
26377,0.990561187
26421,0.951582789
26646,0.953832626
26693,0.938149035
26753,1.042029142
26816,1.005801082
26970,0.828810811
27014,0.939204216
27029,0.858071804
27104,0.966354489
27123,0.79026562
27308,1.003366232
27367,0.996676207
27454,0.89851898
27521,0.970234752
27626,0.948843837
27651,0.906033337
27792,0.914428592
27833,0.712352276
27894,0.909667969
28006,0.719158947
28045,0.85709995
28102,1.026632786
28363,0.867633283
28452,0.954682171
28460,0.919486165
28515,0.933526516
28615,0.805544078
28794,0.917981982
28854,0.928984046
28882,0.887662292
28972,0.815051734
28984,0.849799871
29126,0.807357669
29259,1.033223033
29310,0.987881958
29431,0.863618851
29490,0.825390577
29565,0.894443035
29620,0.759717703
29636,0.720945001
29671,0.786642551
29677,0.940477133
29784,0.955779791
29831,0.859207451
29848,0.912687659
29874,0.8099612
29974,0.929513812
29999,1.010909081
30055,0.935106277
30067,0.96715343
30080,0.892919183
30256,0.96501708
30260,0.970948219
30300,0.876143038
30333,0.829490364
30703,0.948552489
30892,1.044218898
30919,0.997336805
30959,0.940631449
30967,0.970361173
31006,0.960192561
31244,0.925318241
31314,1.016597986
31376,0.904383302
31410,0.980208516
31469,0.866969049
31607,0.84359163
31629,0.843488932
31660,0.945693433
31700,0.867761374
31902,0.866103351
31918,0.732108474
31953,0.867173553
31976,0.921272993
32014,0.837370694
32173,0.980089188
32507,1.016000032
32569,0.938949585
32616,0.866331398
32746,0.973609328
32811,0.897172689
32824,0.931927979
32825,0.822789073
32902,0.968846917
