time,value
18,13.27848625
47,10.97108746
62,10.37310028
63,9.710449219
89,7.626549721
103,7.016316414
107,6.29381752
128,5.286676407
164,3.382055759
172,4.25355196
191,3.49902916
203,3.20688343
229,2.781271219
244,3.569289684
259,2.721862555
282,2.221853256
285,3.316444635
316,2.436295033
319,2.819526434
366,2.853328466
386,2.984917164
402,2.601433754
415,2.051131248
437,2.217128992
446,1.544272661
465,2.095440865
475,2.1412251
481,1.980174661
510,2.069882393
533,1.736106992
538,1.745589733
540,2.224983692
556,1.958016396
562,2.445186138
594,1.934914708
596,1.895366907
637,2.726219177
643,1.535021067
644,1.685410738
658,2.239204884
675,1.821516037
721,2.341652155
764,1.596003056
775,1.513531566
804,1.986179829
857,2.814667702
866,2.087159634
886,1.643594265
942,1.803768039
999,1.527700901
1015,1.600155354
1022,1.68149972
1026,1.363889813
1037,1.356545091
1056,2.18043375
1071,1.423562407
1077,1.610567808
1098,1.060841918
1109,1.373111486
1111,1.590404987
1125,1.259778976
1132,1.557815433
1151,1.334034204
1152,1.679596066
1164,1.165551543
1174,1.770542026
1176,2.474655628
1184,1.987382054
1218,1.791241169
1252,1.116280794
1254,1.423284411
1257,1.365969896
1261,1.416870475
1267,1.258039355
1271,1.202115417
1325,1.80906117
1345,1.504418015
1375,1.583777905
1376,0.93294096
1417,1.029335022
1457,1.89765501
1458,1.801483035
1494,1.374959588
1502,1.540557146
1510,1.390101671
1513,1.881770134
1548,1.413069367
1551,1.152390718
1565,1.398905873
1568,1.218061686
1585,1.282834768
1596,1.44512105
1627,1.350562692
1635,2.193583012
1670,0.920640588
1685,1.330153704
1702,1.739168644
1704,1.241464496
1711,1.602345586
1777,1.290961862
1847,1.730202675
1860,1.497960806
1867,1.376487136
1899,0.892354846
1902,1.037082314
1909,1.053640246
1940,1.291509628
1945,1.643413663
1960,0.793184638
1961,1.524191499
1979,0.915216327
2070,1.431071401
2079,1.030387759
2089,1.199278831
2100,2.033057451
2209,0.920350015
2239,0.93819648
2319,1.043127418
2359,1.15583992
2394,1.246947885
2436,1.752999067
2441,1.000101924
2454,1.227184772
2462,1.063136101
2465,1.814804196
2485,1.296456099
2503,1.382684708
2517,1.212567449
2519,1.260990739
2530,1.376238346
2577,1.480894327
2578,1.49573648
2599,1.879372716
2627,0.795632005
2635,1.021060348
2643,1.384149194
2684,1.140235901
2693,1.493985534
2708,0.812440336
2717,1.130993605
2734,0.91745019
2739,0.974629521
2740,1.070147395
2753,1.210125566
2754,0.866173744
2755,1.525039315
2765,1.789517999
2768,0.944966018
2785,0.864124835
2812,1.291553617
2834,0.948525906
2844,1.123556018
2861,0.854138494
2862,1.168979883
2921,1.298498392
2952,0.949083805
2955,0.954570055
2962,1.356492043
2973,0.991384506
3034,1.261083126
3047,1.42385602
3083,1.345106363
3084,0.923563421
3103,1.263115644
3104,1.285203218
3105,1.246848583
3119,0.833589673
3120,1.202436209
3121,1.01316309
3145,0.940259576
3173,0.849264205
3192,1.78317523
3199,1.690495491
3217,1.00811708
3220,1.111815453
3241,0.991804957
3265,1.053704381
3268,0.945995569
3306,1.268386602
3340,0.812457025
3356,1.675174713
3385,0.780661881
3404,0.990672648
3461,0.699286759
3483,0.896851182
3484,0.981737018
3491,1.233757854
3500,1.128078461
3526,0.947154999
3566,1.077006817
3569,0.973772824
3576,1.144267559
3600,1.212387919
3613,1.104973197
3614,0.74731642
3616,0.910880089
3654,2.191399097
3657,1.213311553
3659,1.041038036
3661,0.986734033
3664,1.044375539
3668,1.255193472
3671,1.092415929
3690,1.107757211
3712,0.839543939
3717,0.735052288
3761,0.689400733
3782,1.281239986
3848,1.16371119
3850,1.016632557
3869,0.950431883
3902,0.953731656
3911,1.113891125
3915,0.6937837
3921,1.170859694
3933,1.573877454
3936,0.780920923
3975,1.382908702
3981,0.85182184
4012,0.984710276
4014,0.751769841
4023,1.155168772
4034,0.777726054
4040,0.846722186
4047,0.917608082
4084,1.067564368
4109,1.170454502
4115,0.833502173
4121,1.023152113
4124,0.889471292
4146,0.791760683
4181,0.948894799
4192,0.847692907
4227,0.936927021
4249,0.988271654
4257,1.076702118
4318,1.295643806
4328,1.010375619
4395,0.842803359
4443,1.236073852
4454,0.993419409
4466,1.355439186
4525,0.934880257
4535,0.901296496
4539,1.066352129
4564,1.080768824
4609,0.966508925
4612,0.703655124
4649,1.570623755
4659,1.230665803
4686,0.978490472
4690,1.043484211
4692,0.817615986
4698,0.700227141
4707,1.071281552
4730,1.24534595
4737,1.206693053
4759,0.871621907
4776,1.386601329
4777,0.911428511
4807,0.980117857
4830,1.104929924
4832,0.884292901
4835,1.227246404
4836,1.459721923
4844,0.969050169
4882,0.944577456
4895,0.71597296
4910,1.512473464
4929,0.689552486
4940,0.803217411
4949,1.362689376
4980,0.803817809
4991,0.799038649
5047,0.760449946
5066,0.927056909
5079,0.846364021
5088,0.755779088
5090,0.830228448
5132,0.883945704
5136,1.415670276
5140,1.121154428
5151,0.818377793
5154,0.782031059
5155,1.521515727
5187,0.76153481
5200,1.218705654
5218,0.698400736
5225,0.837509394
5238,0.771643162
5253,0.763429821
5262,1.767981052
5265,1.329396963
5295,1.009333372
5319,0.724969983
5322,0.975607336
5324,0.814216435
5328,0.921633124
5362,0.80158031
5370,0.816010118
5393,1.197336435
5403,1.048488259
5445,1.04747355
5454,0.887895167
5459,0.999648392
5504,1.022702694
5509,0.981221318
5521,0.712778091
5567,0.75429374
5667,0.858562768
5730,1.160409451
5758,0.879064322
5781,0.816644192
5832,0.960575104
5866,0.980602145
5879,1.080802202
5948,0.796324968
5956,0.691356003
5964,0.771039784
5981,1.579130292
5997,0.824069321
6009,1.506692886
6045,0.879572213
6053,0.941786349
6078,0.797990561
6111,0.96103394
6113,1.007255435
6133,0.637892425
6138,0.808597982
6140,0.799930334
6142,1.087386847
6168,1.702775598
6225,1.053148985
6243,0.926117599
6279,0.888584137
6281,0.818614602
6300,0.78924042
6332,0.873031974
6334,1.026761532
6358,0.802937925
6359,0.610579193
6364,0.989014626
6369,1.663437843
6443,0.898536086
6459,1.213104129
6473,0.796460569
6491,1.408432364
6528,1.015203834
6531,0.66839093
6546,0.654740334
6551,0.834503889
6564,0.69952631
6569,0.983291268
6585,0.964708745
6590,0.769294322
6595,1.101122618
6599,0.829992235
6615,0.805500209
6649,1.196185708
6673,1.072499275
6720,0.734178603
6730,1.165861845
6734,0.837773621
6750,1.06141305
6761,0.663483202
6785,0.825049758
6802,0.818190813
6821,0.926316321
6842,1.000938177
6850,1.36521256
6859,0.874004006
6875,0.821142912
6916,0.997976124
6919,0.811411381
6930,1.042344213
6937,1.137551546
6975,0.87646389
6991,0.837674797
6996,0.768842638
6998,0.5500862
7018,1.02268827
7029,0.931816399
7044,0.818486154
7054,0.994145513
7117,0.977048337
7120,1.025683999
7126,0.991862655
7164,0.772287548
7178,1.764873147
7180,1.158768654
7207,0.764230728
7225,1.004850507
7253,0.825659096
7274,0.735262156
7308,0.997563541
7334,1.39416182
7338,1.064631104
7353,0.890086174
7367,0.869674802
7424,0.819493353
7435,1.233107805
7436,0.672729909
7464,0.734504938
7468,0.722092211
7470,1.176413894
7482,1.121904612
7506,0.93218106
7518,0.713864863
7526,0.910748184
7532,0.943938553
7543,0.72525692
7551,0.620212913
7553,0.959287226
7593,1.279620647
7602,0.777822673
7604,0.836459339
